OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuturb;medturb;minturb;maxturb;devturb;latitude;longitude
2208;00RJ04DB0010;2020;RJ;INEA;Rio Duas Barras;1;5,000000000000000;3,060000000000000;1,300000000000000;4,300000000000000;1,250200000000000;-22,239111000000001;-42,057499999999997
2209;00RJ04IM0010;2020;RJ;INEA;Rio Imboassica;1;5,000000000000000;27,780000000000001;14,000000000000000;56,200000000000003;16,876670000000001;-22,418694000000002;-41,860722000000003
2210;00RJ04MC0002;2020;RJ;INEA;Rio Macaé;1;5,000000000000000;36,320000000000000;13,400000000000000;88,299999999999997;29,718125999999998;-22,295017000000001;-41,876981000000001
2211;00RJ04MC0010;2020;RJ;INEA;Rio Macaé;1;5,000000000000000;3,620000000000000;1,900000000000000;5,300000000000000;1,302690000000000;-22,372719000000004;-42,310893999999998
2212;00RJ04RB0010;2020;RJ;INEA;Rio Bonito;1;5,000000000000000;2,420000000000000;0,900000000000000;3,500000000000000;0,983362000000000;-22,387139000000001;-42,310499999999998
2213;00RJ04RO0015;2020;RJ;INEA;Rio das Ostras;1;5,000000000000000;13,520000000000000;9,000000000000000;19,899999999999999;4,430237000000000;-22,517972000000000;-41,932211000000002
2214;00RJ04SN0005;2020;RJ;INEA;Rio Sana;1;5,000000000000000;4,940000000000000;2,000000000000000;6,800000000000000;1,999500000000000;-22,361416999999999;-42,202333000000003
2215;00RJ04SP0010;2020;RJ;INEA;Rio São Pedro;1;5,000000000000000;8,320000000000000;2,800000000000000;12,000000000000000;3,523776000000000;-22,233332999999998;-42,017693999999999
2216;00RJ04SP0050;2020;RJ;INEA;Rio São Pedro;1;5,000000000000000;28,480000000000000;10,500000000000000;65,799999999999997;21,621448000000001;-22,277777999999998;-41,872778000000004
2217;00RJ05BC0002;2020;RJ;INEA;Rio Bacaxá;1;5,000000000000000;12,940000000000000;6,900000000000000;19,399999999999999;4,626338000000001;-22,712391999999998;-42,360164000000005
2218;00RJ05CP0002;2020;RJ;INEA;Rio Capivari;1;5,000000000000000;24,960000000000001;8,500000000000000;75,000000000000000;28,149121000000001;-22,642692000000000;-42,400175000000004
2219;00RJ05SJ0012;2020;RJ;INEA;Rio São João;1;5,000000000000000;9,560000000000000;3,600000000000000;15,900000000000000;4,525815000000001;-22,587844000000000;-42,266605999999996
