OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nup;medp;minp;maxp;devp;latitude;longitude
1589;TEL051;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,080000000000000;0,080000000000000;0,080000000000000;0,000000000000000;-14,631221999999999;-54,647027999999999
1590;TEL1004;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,080000000000000;0,080000000000000;0,080000000000000;0,000000000000000;-10,238417000000000;-55,807611000000001
1591;TEL1134;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,080000000000000;0,080000000000000;0,080000000000000;0,000000000000000;-9,639250000000001;-56,014527999999999
1592;TEL328;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,306667000000000;0,080000000000000;0,760000000000000;0,392598000000000;-13,558667000000000;-55,268110999999998
1593;TEL518;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,223333000000000;0,080000000000000;0,470000000000000;0,214554000000000;-12,673861000000000;-55,793972000000004
1594;TEL657;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,223333000000000;0,080000000000000;0,500000000000000;0,239653000000000;-11,893861000000001;-55,656139000000003
1595;TEL715;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,083333000000000;0,080000000000000;0,090000000000000;0,005774000000000;-11,653111000000001;-55,703889000000004
1596;TEL806;2020;MT;SEMA;Rio Teles Pires;1;3,000000000000000;0,080000000000000;0,080000000000000;0,080000000000000;0,000000000000000;-11,094472000000000;-55,305778000000004
1597;TEN095;2020;MT;SEMA;Rio Tenente Lira;1;3,000000000000000;0,220000000000000;0,080000000000000;0,500000000000000;0,242487000000000;-12,535111000000001;-55,705416999999997
1598;VEM015;2020;MT;SEMA;Rio Vermelho;1;5,000000000000000;0,322000000000000;0,080000000000000;1,010000000000000;0,391944000000000;-16,196314000000001;-54,300958000000001
1599;VEM070;2020;MT;SEMA;Vermelho;1;5,000000000000000;0,252000000000000;0,080000000000000;0,740000000000000;0,278783000000000;-16,468591999999997;-54,481061000000004
1600;VEM088;2020;MT;SEMA;Rio Vermelho;1;3,000000000000000;0,340000000000000;0,080000000000000;0,580000000000000;0,250599000000000;-16,494170000000000;-54,609444000000003
1601;VEM093;2020;MT;SEMA;Rio Vermelho;1;5,000000000000000;0,328000000000000;0,090000000000000;0,950000000000000;0,354006000000000;-16,479581000000003;-54,651792000000000
1602;VER229;2020;MT;SEMA;Rio Verde;1;3,000000000000000;0,216667000000000;0,080000000000000;0,490000000000000;0,236714000000000;-13,050778000000001;-55,907944000000001
1603;PB-7362-E-16;2020;PB;AESA;Açude Várzea Grande;2;5,000000000000000;0,486200000000000;0,245000000000000;0,910000000000000;0,261055000000000;-6,429640000000000;-36,353579999999994
1604;PB-7362-E-18;2020;PB;AESA;Açude Santa Luzia;2;8,000000000000000;0,131250000000000;0,013000000000000;0,340000000000000;0,126188000000000;-6,876972000000000;-36,919575000000002
1605;PB-7362-E-25;2020;PB;AESA;Açude São Mamede;2;8,000000000000000;0,292750000000000;0,050000000000000;0,601000000000000;0,208806000000000;-6,929828000000001;-37,069845999999998
1606;PB-7363-E-3;2020;PB;AESA;Açude Escondido;2;8,000000000000000;0,159625000000000;0,020000000000000;0,460000000000000;0,152654000000000;-6,184737000000000;-37,544673000000003
1607;PB-7364-E-3;2020;PB;AESA;Rio Espinharas;1;4,000000000000000;0,651250000000000;0,179000000000000;1,700000000000000;0,711764000000000;-6,717434999999999;-37,406667999999996
